epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,4413.86,1.00076,0.8082,0.01568,0.08617,0.4683,0.49141,0.42577,0.26195,1.40758,1.21536,0.02014,0.06527,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,4492.01,0.98444,0.79881,0.01528,0.08279,0.41988,0.49675,0.39376,0.22494,1.48919,1.30968,0.01971,0.06442,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,4568.82,0.98817,0.8013,0.0153,0.08566,0.48935,0.51108,0.47107,0.28435,1.39919,1.19976,0.01991,0.06246,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,4634.64,0.98958,0.80663,0.0163,0.08623,0.47372,0.49488,0.44854,0.26588,1.41033,1.22941,0.02059,0.06491,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,4699.69,0.98532,0.80188,0.01592,0.08581,0.47899,0.51165,0.48098,0.30009,1.33331,1.18151,0.02018,0.06189,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,4763.93,0.98592,0.80163,0.01415,0.0846,0.49877,0.49055,0.46536,0.27642,1.39809,1.22486,0.01923,0.06139,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,4830.98,0.97462,0.79013,0.01474,0.08285,0.45269,0.45876,0.42098,0.24584,1.45681,1.28361,0.01931,0.06034,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,4904.4,0.97442,0.78659,0.01537,0.08441,0.45694,0.50529,0.45032,0.27851,1.38071,1.21739,0.02007,0.06543,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,4975.63,0.97983,0.78956,0.01527,0.08512,0.47625,0.5038,0.45953,0.28063,1.37427,1.20088,0.02325,0.07313,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,5043.56,0.98234,0.78649,0.01593,0.08566,0.4665,0.50656,0.45092,0.26977,1.41242,1.24393,0.02477,0.07371,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,5111.91,0.97955,0.78332,0.01533,0.08513,0.45933,0.49538,0.42707,0.25149,1.44473,1.26912,0.0231,0.0739,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,5179.02,0.98008,0.79807,0.01712,0.08544,0.46776,0.51715,0.45079,0.27422,1.39905,1.21663,0.0256,0.07675,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
